,Name,Address,Phone,Website
0,E. Remmelts Elektrotechniek,"Binnenes 71, 9407 CX Assen, Nederland ",+31 6 30888249 ,http://www.remmeltselektro.nl/
1,Zeemanelektro.nl B.V.,"Jachthoorn 19, 7833 CX Nieuw-Amsterdam, Nederland ",+31 591 858 156 ,https://www.zeemanelektro.nl/
2,Kiers Elektro,,+31 6 37612395 ,http://www.kierselektro.nl/
3,Meints Techniek,"Anreperstraat 152, 9404 LJ Assen, Nederland ",+31 6 39300450 ,https://www.meintstechniek.nl/
4,Elektrotechnisch Installatiebedrijf Middel,"Waardeel 2, 9531 EC Borger, Nederland ",+31 6 15468247 ,http://www.middelelektro.nl/
5,Veen Elektrotechniek,"Weerdingerkanaal Noordzijde 129, 7831 HJ Nieuw-Weerdinge, Nederland ",+31 591 745 354 ,http://veenelektrotechniek.nl/
6,HAGE Techniek,"Ossebroeken 11J, 9411 VR Beilen, Nederland ",+31 593 540 999 ,http://www.hagetechniek.nl/
7,Tino Elektrotechniek,"A.H.G. Fokkerstraat 18 /L, 9403 AP Assen, Nederland ",+31 592 408 000 ,http://www.tinoelektrotechniek.nl/
8,Nick Smit Installatietechniek,"Zuidlaarderweg 54, 9468 AG Annen, Nederland ",+31 6 83385504 ,http://www.ns-i.nl/
9,Elektrotechnisch Installatiebedrijf F.I.T. - Groningen,"Van Maerlantlaan 30, 9752 JS Haren, Nederland ",+31 50 850 8652 ,https://www.fit-elektricien.nl/
10,Jansen Elektrotechniek,"Touwslager 7, 9502 KD Stadskanaal, Nederland ",+31 599 788 881 ,http://www.elektrotechniek-jansen.nl/
11,Ten Heuvel Installaties,"Wolddijk 6, 7942 XR Meppel, Nederland ",+31 6 31264033 ,https://www.tenheuvelinstallaties.nl/
12,Buysrogge BV,"Zadelmakerstraat 6, 9403 VE Assen, Nederland ",+31 88 546 0700 ,http://www.buysrogge.nl/
13,DeWan Elektro Techniek Groningen,"Duinkerkenstraat 7-J, 9723 BN Groningen, Nederland ","Telefoon,Telefoonnummer van plaats toevoegen",http://www.de-wan.nl/
14,Elektro Speciaal Zaak Nijenbanning BV,"Oud Aalden 6, 7854 RW Aalden, Nederland ",+31 591 371 416 ,http://nijenbanning.eu/
15,Mijn Elektromonteur,"P. Beugelstraat 36, 7831 EC Nieuw-Weerdinge, Nederland ",+31 6 24672909 ,http://mijnelektromonteur.com/
16,Technisch Installatiebureau Goeree B.V.,"Cornelis Houtmanstraat 7, 7825 VH Emmen, Nederland ",+31 591 632 462 ,http://www.goereebv.nl/
17,EVDB Techniek,"Dorpsstraat 52, 7933 PD Pesse, Nederland ",+31 6 10177777 ,https://evdbtechniek.nl/
18,MarTronics Maritieme Elektro,"Blankensteinweg 40, 7943 KP, Blankenstein 760, 7943 PA Meppel, Nederland ",+31 6 10547344 ,http://www.martronics.nl/
19,Hummel Elektra Emmen B.V.,"Columbusstraat 8, 7825 VR Emmen, Nederland ",+31 591 669 966 ,http://www.hummelelektra.nl/
20,ElektraWerk Noord,,+31 6 19982912 ,https://www.elektrawerknoord.nl/
21,OUXO Energy B.V.,"Handelsweg 14, 9482 WE Tynaarlo, Nederland ",+31 85 303 5328 ,https://www.ouxo.nl/
22,Pro4 techniek,,+31 6 29151345 ,http://www.pro4techniek.nl/
23,SPARQ Assembly B.V.,"Charles Darwinstraat 24, 7825 AC Emmen, Nederland ",+31 85 303 2090 ,https://sparqassembly.com/
24,Energietechniek Emmen,"Jacob Roggeveenstraat 6, 7825 VX Emmen, Nederland ",+31 591 785 254 ,http://www.energietechniekemmen.nl/
25,Instain B.V.,"Atlantis 35, 7821 AX Emmen, Nederland ",+31 591 762 872 ,https://www.instain.nl/
26,Bouma Services,"Peelerpark, Afrikaweg 57, 9407 TP Assen, Nederland ",+31 6 24885169 ,
27,Electrocheck,"Schepersstuk 5, 9333 PR Langelo, Nederland ",+31 6 38608663 ,
28,Assen Installatietechniek & Badkamers,"Meulenakker 8, 7841 EP Sleen, Nederland ",+31 591 390 620 ,https://www.assentib.nl/
29,Gebr. Middelveld,"Oosterveldweg 6, 7927 TA Alteveer, Nederland ",+31 528 263 684 ,http://www.middelveld.nl/
30,Karsens Elektrotechniek,,+31 6 11427910 ,
31,PROBIS Nederland,"Ossebroeken 34, 9411 VR Beilen, Nederland ",+31 88 506 0100 ,http://www.probisnederland.com/
32,Bouma Elektrotechniek,"Vaart Z.Z. 131, 9401 GL Assen, Nederland ",+31 6 24885169 ,http://www.boumaelektro.nl/
33,Prins Elektrotechniek B.V.,"Atlantis 39, 7821 AX Emmen, Nederland ",+31 6 25090439 ,http://www.prinselektrotechniek.nl/
34,HVI C.V. Techniek,,+31 599 582 871 ,
35,Van Dekken elektrotechniek,"Hendrik de Vriesstraat 11, 9744 AZ Groningen, Nederland ",+31 6 55304314 ,https://elektriciengroningen.nl/
36,Ter Veld Elektrotechniek,"Ceintuurbaan Noord 122, 9301 NZ Roden, Nederland ",+31 50 853 8668 ,http://tvelektro.nl/
37,Installatiehulp Emmen,,+31 591 239 069 ,
38,Blijstra Elektro Techniek,,+31 6 51301084 ,http://www.opgewektinnederland.nl/
39,Waardevolt,"Kanaalweg 126, 9421 SV Bovensmilde, Nederland ",+31 592 820 300 ,http://www.waardevolt.nl/
40,Eekels Technology B.V.,"A. Plesmanlaan 2, 9615 TH Kolham, Nederland ",+31 88 799 1799 ,http://www.eekels.com/
41,MMEtech,,+31 6 46822098 ,http://www.mmetech.nl/
42,M.H.B Techniek,"Vredenburgweg 7, 9601 KL Hoogezand, Nederland ",+31 85 064 5497 ,https://mhbtechniek.nl/
43,Js elektroservice,"De Schoener 3, 7908 DG Hoogeveen, Nederland ",+31 6 58999741 ,http://www.jselektroservice.nl/
44,Noabertechniek,"Forsythia 24, 7742 SJ Coevorden, Nederland ",+31 6 22544124 ,http://www.noabertechniek.com/
45,AC DUURZAAM,"Alfa-College, Voltastraat 33, 7903 AA Hoogeveen, Nederland ","Telefoon,Telefoonnummer van plaats toevoegen",http://acduurzaam.nl/
46,weelelectroservice,"De Prunus 58, 7701 WP Dedemsvaart, Nederland ",+31 6 54294721 ,
47,Thomson duurzame techniek,"Doctor A.F. Philipsweg 33, 9403 AD Assen, Nederland ",+31 592 785 402 ,https://www.thomsonduurzametechniek.nl/
48,Retail Corporation,,+31 6 39855825 ,
49,Aalders Elektro Service,"T. Zondagstraat 2, 9301 HM Roden, Nederland ",+31 6 25538307 ,
50,050elektricien.nl SPOED!!,,+31 50 211 0375 ,http://www.050elektricien.nl/
51,Elektrotechniek Noord.NL,,+31 6 26280233 ,https://elektrotechnieknoord.nl/HOME.html
52,Groenhagen Koel & Klimaat techniek,,+31 6 30811433 ,http://www.groenhagenkoeltechniek.nl/
53,KLG Techniek,,+31 6 30610026 ,http://www.klgtechniek.nl/
54,Elektro Daan,"Europaweg 221, 7766 AH Nieuw-Schoonebeek, Nederland ",+31 6 14477311 ,
55,Hilbrands Installatietechniek,"Edveensweg 16, 7861 AN Oosterhesselen, Nederland ",+31 524 582 445 ,
56,Ae's elektrotechniek,"Schuitendiep 84, 9711 RG Groningen, Nederland ",+31 85 401 0497 ,https://www.aes-elektrotechniek.nl/
57,Dyon Elektrotechniek,,+31 6 42420137 ,https://www.dyonelektrotechniek.nl/
58,LithiumAccus.nl,"Egersundweg 2-k, 9723JM Groningen, Nederland ",+31 50 205 3338 ,http://www.lithiumaccus.nl/
59,Sterk Installaties,"Trambaan 4b, 7911 TM Nieuweroord, Nederland ","Telefoon,Telefoonnummer van plaats toevoegen",http://www.sterkinstallaties.nl/
60,Reda Solar,"Kerkweg 49, 7936 TJ Tiendeveen, Nederland ",+31 528 746 012 ,https://www.redasolar.nl/
61,Kruit Antennebouw,,+31 6 46376899 ,https://www.kruitantennebouw.nl/
62,Atymo Besturingstechniek,"Nieuweweg 179, 9603 BL Hoogezand, Nederland ",+31 598 853 380 ,http://www.atymo.nl/
63,Erwin van de Beld Techniek,,+31 6 10177777 ,https://evdbtechniek.nl/
64,Benjamins Installatietechniek,"Perebomenweg 54, 7916 PG Elim, Nederland ",+31 528 352 027 ,http://www.benjamins-installatie.nl/
65,Dé Zonnepanelen Installateur,,+31 592 250 505 ,http://www.dezonnepaneleninstallateur.nl/
66,timmerman installatietechniek,"Tijm 6, 7892 AD Klazienaveen, Nederland ",+31 6 57091364 ,http://www.timmermaninstallatietechniek.nl/
67,van Riesen Installatietechniek B.V.,"Ceintuurbaan Noord 123, 9301 NT Roden, Nederland ",+31 50 727 1020 ,http://vanriesen-installatietechniek.nl/
68,RH Solar,,+31 6 13071577 ,http://www.rhsolar.nl/
69,Elektrotechniek Groningen,"9723 JC Groningen, Nederland ",+31 50 211 2771 ,http://www.elektrotechniekgroningen.nl/
70,Blue Line Installatietechniek,,+31 6 24777124 ,
71,Moes Installatietechniek,"Franklinstraat 9, 7903 AC Hoogeveen, Nederland ",+31 528 267 816 ,http://www.moes-installatie.nl/
72,Dekker Struik Installatietechniek B.V.,"Afrikaweg 33C, 9407 TL Assen, Nederland ",+31 592 749 062 ,https://www.dekkerstruikinstallatietechniek.nl/
73,EGJelektro & ALduurzaam,"Warmoltsstrjitte 19, 9281 PK Harkema, Nederland ",+31 6 81580700 ,http://egjelektro.nl/
74,Sissing Camerabeveiliging en Elektrotechniek,,+31 6 25238727 ,http://www.sissingcamerabeveiliging.nl/
75,JPF-Installatietechniek,"De Schans 90, 9351 AZ Leek, Nederland ","Telefoon,Telefoonnummer van plaats toevoegen",
